    PID TTY      STAT   TIME COMMAND
  49312 ?        S      0:00 sh -c '/usr/bin/php8.3' 'artisan' app:tg_parse:specialist > '/var/www/www-root/data/www/progs.com/tg_parse_specialist_5.log' 2>&1
  49313 ?        S      1:54 /usr/bin/php8.3 artisan app:tg_parse:specialist
  49316 ?        Z      0:00 [sh] <defunct>
  49319 ?        Z      0:00 [sh] <defunct>
  49321 ?        Z      0:00 [sh] <defunct>
  49323 ?        Z      0:00 [sh] <defunct>
  49325 ?        Z      0:00 [sh] <defunct>
  49327 ?        Z      0:00 [sh] <defunct>
  49329 ?        Z      0:00 [sh] <defunct>
  49331 ?        Z      0:00 [sh] <defunct>
  49333 ?        Z      0:00 [sh] <defunct>
  49335 ?        Z      0:00 [sh] <defunct>
  49337 ?        Z      0:00 [sh] <defunct>
  49339 ?        Z      0:00 [sh] <defunct>
  49341 ?        Z      0:00 [sh] <defunct>
  49343 ?        Z      0:00 [sh] <defunct>
  49345 ?        Z      0:00 [sh] <defunct>
  49347 ?        Z      0:00 [sh] <defunct>
  49373 ?        Z      0:00 [sh] <defunct>
  49375 ?        Z      0:00 [sh] <defunct>
  49377 ?        Z      0:00 [sh] <defunct>
  49379 ?        Z      0:00 [sh] <defunct>
  49381 ?        Z      0:00 [sh] <defunct>
  49383 ?        Z      0:00 [sh] <defunct>
  49385 ?        Z      0:00 [sh] <defunct>
  49387 ?        Z      0:00 [sh] <defunct>
  49389 ?        Z      0:00 [sh] <defunct>
  49391 ?        Z      0:00 [sh] <defunct>
  49393 ?        Z      0:00 [sh] <defunct>
  49395 ?        Z      0:00 [sh] <defunct>
  49397 ?        Z      0:00 [sh] <defunct>
  49399 ?        Z      0:00 [sh] <defunct>
  49401 ?        Z      0:00 [sh] <defunct>
  49403 ?        Z      0:00 [sh] <defunct>
  49424 ?        Z      0:00 [sh] <defunct>
  49426 ?        Z      0:00 [sh] <defunct>
  49428 ?        Z      0:00 [sh] <defunct>
  49430 ?        Z      0:00 [sh] <defunct>
  49432 ?        Z      0:00 [sh] <defunct>
  49434 ?        Z      0:00 [sh] <defunct>
  49436 ?        Z      0:00 [sh] <defunct>
  49440 ?        Z      0:00 [sh] <defunct>
  49442 ?        Z      0:00 [sh] <defunct>
  49446 ?        Z      0:00 [sh] <defunct>
  49450 ?        Z      0:00 [sh] <defunct>
  49457 ?        Z      0:00 [sh] <defunct>
  49459 ?        Z      0:00 [sh] <defunct>
  49461 ?        Z      0:00 [sh] <defunct>
  49463 ?        Z      0:00 [sh] <defunct>
  49487 ?        Z      0:00 [sh] <defunct>
  49491 ?        Z      0:00 [sh] <defunct>
  49493 ?        Z      0:00 [sh] <defunct>
  49495 ?        Z      0:00 [sh] <defunct>
  49497 ?        Z      0:00 [sh] <defunct>
  49499 ?        Z      0:00 [sh] <defunct>
  49501 ?        Z      0:00 [sh] <defunct>
  49503 ?        Z      0:00 [sh] <defunct>
  49505 ?        Z      0:00 [sh] <defunct>
  49507 ?        Z      0:00 [sh] <defunct>
  49509 ?        Z      0:00 [sh] <defunct>
  49511 ?        Z      0:00 [sh] <defunct>
  49513 ?        Z      0:00 [sh] <defunct>
  49515 ?        Z      0:00 [sh] <defunct>
  49517 ?        Z      0:00 [sh] <defunct>
  49519 ?        Z      0:00 [sh] <defunct>
  49671 ?        Z      0:00 [sh] <defunct>
  49675 ?        Z      0:00 [sh] <defunct>
  49678 ?        Z      0:00 [sh] <defunct>
  49681 ?        Z      0:00 [sh] <defunct>
  49685 ?        Z      0:00 [sh] <defunct>
  49687 ?        Z      0:00 [sh] <defunct>
  49694 ?        Z      0:00 [sh] <defunct>
  49696 ?        Z      0:00 [sh] <defunct>
  49698 ?        Z      0:00 [sh] <defunct>
  49700 ?        Z      0:00 [sh] <defunct>
  49702 ?        Z      0:00 [sh] <defunct>
  49704 ?        Z      0:00 [sh] <defunct>
  49706 ?        Z      0:00 [sh] <defunct>
  49708 ?        Z      0:00 [sh] <defunct>
  49710 ?        Z      0:00 [sh] <defunct>
  49712 ?        Z      0:00 [sh] <defunct>
  49789 ?        Z      0:00 [sh] <defunct>
  49791 ?        Z      0:00 [sh] <defunct>
  49793 ?        Z      0:00 [sh] <defunct>
  49795 ?        Z      0:00 [sh] <defunct>
  49797 ?        Z      0:00 [sh] <defunct>
  49799 ?        Z      0:00 [sh] <defunct>
  49801 ?        Z      0:00 [sh] <defunct>
  49803 ?        Z      0:00 [sh] <defunct>
  49805 ?        Z      0:00 [sh] <defunct>
  49807 ?        Z      0:00 [sh] <defunct>
  49809 ?        Z      0:00 [sh] <defunct>
  49811 ?        Z      0:00 [sh] <defunct>
  49813 ?        Z      0:00 [sh] <defunct>
  49815 ?        Z      0:00 [sh] <defunct>
  49817 ?        Z      0:00 [sh] <defunct>
  49819 ?        Z      0:00 [sh] <defunct>
  49841 ?        Z      0:00 [sh] <defunct>
  49843 ?        Z      0:00 [sh] <defunct>
  49845 ?        Z      0:00 [sh] <defunct>
  49847 ?        Z      0:00 [sh] <defunct>
  49849 ?        Z      0:00 [sh] <defunct>
  49851 ?        Z      0:00 [sh] <defunct>
  49853 ?        Z      0:00 [sh] <defunct>
  49855 ?        Z      0:00 [sh] <defunct>
  49857 ?        Z      0:00 [sh] <defunct>
  49859 ?        Z      0:00 [sh] <defunct>
  49861 ?        Z      0:00 [sh] <defunct>
  49863 ?        Z      0:00 [sh] <defunct>
  49865 ?        Z      0:00 [sh] <defunct>
  49867 ?        Z      0:00 [sh] <defunct>
  49869 ?        Z      0:00 [sh] <defunct>
  49871 ?        Z      0:00 [sh] <defunct>
  49895 ?        Z      0:00 [sh] <defunct>
  49897 ?        Z      0:00 [sh] <defunct>
  49899 ?        Z      0:00 [sh] <defunct>
  49901 ?        Z      0:00 [sh] <defunct>
  49903 ?        Z      0:00 [sh] <defunct>
  49905 ?        Z      0:00 [sh] <defunct>
  49907 ?        Z      0:00 [sh] <defunct>
  49909 ?        Z      0:00 [sh] <defunct>
  49916 ?        Z      0:00 [sh] <defunct>
  49918 ?        Z      0:00 [sh] <defunct>
  49920 ?        Z      0:00 [sh] <defunct>
  49922 ?        Z      0:00 [sh] <defunct>
  49924 ?        Z      0:00 [sh] <defunct>
  49926 ?        Z      0:00 [sh] <defunct>
  49928 ?        Z      0:00 [sh] <defunct>
  49930 ?        Z      0:00 [sh] <defunct>
  49950 ?        Z      0:00 [sh] <defunct>
  49952 ?        Z      0:00 [sh] <defunct>
  49954 ?        Z      0:00 [sh] <defunct>
  49956 ?        Z      0:00 [sh] <defunct>
  49958 ?        Z      0:00 [sh] <defunct>
  49960 ?        Z      0:00 [sh] <defunct>
  49962 ?        Z      0:00 [sh] <defunct>
  49964 ?        Z      0:00 [sh] <defunct>
  49966 ?        Z      0:00 [sh] <defunct>
  49968 ?        Z      0:00 [sh] <defunct>
  49970 ?        Z      0:00 [sh] <defunct>
  49972 ?        Z      0:00 [sh] <defunct>
  49974 ?        Z      0:00 [sh] <defunct>
  49976 ?        Z      0:00 [sh] <defunct>
  49978 ?        Z      0:00 [sh] <defunct>
  49980 ?        Z      0:00 [sh] <defunct>
  50005 ?        Z      0:00 [sh] <defunct>
  50007 ?        Z      0:00 [sh] <defunct>
  50009 ?        Z      0:00 [sh] <defunct>
  50011 ?        Z      0:00 [sh] <defunct>
  50013 ?        Z      0:00 [sh] <defunct>
  50015 ?        Z      0:00 [sh] <defunct>
  50017 ?        Z      0:00 [sh] <defunct>
  50019 ?        Z      0:00 [sh] <defunct>
  50021 ?        Z      0:00 [sh] <defunct>
  50023 ?        Z      0:00 [sh] <defunct>
  50025 ?        Z      0:00 [sh] <defunct>
  50027 ?        Z      0:00 [sh] <defunct>
  50029 ?        Z      0:00 [sh] <defunct>
  50031 ?        Z      0:00 [sh] <defunct>
  50033 ?        Z      0:00 [sh] <defunct>
  50035 ?        Z      0:00 [sh] <defunct>
  50115 ?        Z      0:00 [sh] <defunct>
  50117 ?        Z      0:00 [sh] <defunct>
  50119 ?        Z      0:00 [sh] <defunct>
  50121 ?        Z      0:00 [sh] <defunct>
  50123 ?        Z      0:00 [sh] <defunct>
  50125 ?        Z      0:00 [sh] <defunct>
  50127 ?        Z      0:00 [sh] <defunct>
  50129 ?        Z      0:00 [sh] <defunct>
  50131 ?        Z      0:00 [sh] <defunct>
  50133 ?        Z      0:00 [sh] <defunct>
  50135 ?        Z      0:00 [sh] <defunct>
